일자,발전구분,설비용량(MW),시간,발전량(kWh),연식(년)
2023-01-10,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-11,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-12,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-13,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-14,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-15,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-16,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-17,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-18,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-19,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-20,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-21,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-22,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-23,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-24,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-25,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-26,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-27,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-28,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-29,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-30,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-01-31,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-01,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-02,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-03,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-04,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-05,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-06,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-07,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-08,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-09,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-10,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-11,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-12,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-13,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-14,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-15,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-16,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-17,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-18,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-19,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-20,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-21,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-22,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-23,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-24,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-25,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-26,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-27,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-28,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-01,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-02,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-03,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-04,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-05,(군산)삼랑진태양광,2.0,1,0.0,14.8
2023-02-06,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-07,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-08,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-09,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-10,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-11,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-12,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-13,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-14,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-15,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-16,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-17,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-18,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-19,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-20,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-21,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-22,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-23,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-24,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-25,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-26,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-27,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-02-28,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-01,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-02,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-03,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-04,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-05,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-06,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-07,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-08,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-09,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-10,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-11,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-12,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-13,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-14,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-15,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-16,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-17,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-18,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-19,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-20,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-21,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-22,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-23,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-24,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-25,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-26,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-27,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-28,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-29,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-30,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-31,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-01,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-02,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-03,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-04,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-05,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-06,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-07,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-08,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-09,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-10,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-11,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-12,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-13,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-14,(군산)삼랑진태양광,2.0,1,0.0,14.9
2023-03-15,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-16,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-17,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-18,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-19,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-20,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-21,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-22,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-23,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-24,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-25,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-26,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-27,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-28,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-29,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-30,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-03-31,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-01,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-02,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-03,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-04,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-05,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-06,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-07,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-08,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-09,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-10,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-11,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-12,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-13,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-14,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-15,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-16,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-17,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-18,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-19,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-20,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-21,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-22,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-23,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-24,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-25,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-26,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-27,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-28,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-29,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-30,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-01,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-02,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-03,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-04,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-05,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-06,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-07,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-08,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-09,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-10,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-11,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-12,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-13,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-14,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-15,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-16,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-17,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-18,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-19,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-20,(군산)삼랑진태양광,2.0,1,0.0,15.0
2023-04-21,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-22,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-23,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-24,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-25,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-26,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-27,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-28,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-29,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-04-30,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-01,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-02,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-03,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-04,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-05,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-06,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-07,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-08,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-09,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-10,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-11,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-12,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-13,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-14,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-15,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-16,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-17,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-18,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-19,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-20,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-21,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-22,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-23,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-24,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-25,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-26,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-27,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-28,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-29,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-30,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-31,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-01,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-02,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-03,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-04,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-05,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-06,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-07,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-08,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-09,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-10,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-11,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-12,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-13,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-14,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-15,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-16,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-17,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-18,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-19,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-20,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-21,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-22,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-23,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-24,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-25,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-26,(군산)삼랑진태양광,2.0,1,0.0,15.1
2023-05-27,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-28,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-29,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-30,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-05-31,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-01,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-02,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-03,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-04,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-05,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-06,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-07,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-08,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-09,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-10,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-11,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-12,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-13,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-14,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-15,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-16,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-17,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-18,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-19,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-20,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-21,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-22,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-23,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-24,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-25,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-26,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-27,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-28,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-29,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-30,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-01,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-02,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-03,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-04,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-05,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-06,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-07,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-08,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-09,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-10,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-11,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-12,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-13,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-14,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-15,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-16,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-17,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-18,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-19,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-20,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-21,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-22,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-23,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-24,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-25,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-26,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-27,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-28,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-29,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-06-30,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-07-01,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-07-02,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-07-03,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-04,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-05,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-06,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-07,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-08,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-09,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-10,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-11,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-12,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-13,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-14,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-15,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-16,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-17,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-18,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-19,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-20,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-21,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-22,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-23,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-24,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-25,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-26,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-27,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-28,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-29,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-30,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-31,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-01,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-07-02,(군산)삼랑진태양광,2.0,1,0.0,15.2
2023-07-03,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-04,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-05,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-06,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-07,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-08,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-09,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-10,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-11,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-12,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-13,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-14,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-15,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-16,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-17,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-18,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-19,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-20,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-21,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-22,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-23,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-24,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-25,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-26,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-27,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-28,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-29,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-30,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-07-31,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-01,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-02,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-03,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-04,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-05,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-06,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-07,(군산)삼랑진태양광,2.0,1,0.0,15.3
2023-08-08,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-09,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-10,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-11,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-12,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-13,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-14,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-15,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-16,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-17,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-18,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-19,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-20,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-21,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-22,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-23,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-24,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-25,(군산)삼랑진태양광,2.0,1,0.0,15.4
2023-08-26,(군산)삼랑진태양광,2.0,1,0.0,15.4
